,Jobs,Companies,Locations,Salaries,Summaries,Link_Page
171,Senior Research Analyst - Industrials (Mid/Small Caps),Fulsearch,Sydney NSW,"$200,000 - $250,000 a year","You will be working for one of Australia's leading sell side equities houses, focussing on emerging companies. Senior Research Analyst - Industrials (Mid/ Small Caps) Your role You'll be responsible for maintaining all stock and industry models, writing research, dealing with corporate relationships and interacting with internal and external clients. The environment is challenging and demanding, but exciting and dynamic in one of Australia's leading sell side equities and research business. You'll also: maintain an in-depth knowledge of key companies and their sectors prepare research analysis reports and advise on investment ideas as well as write thematic sector pieces develop and maintain regular communication with company management teams, clients and our internal sales teams engage in financial modelling, forecasting and financial statement analysis participate in client marketing activities Your experience and skills You have: 5+ years' experience in Equity Research, major accounting firm, or a finance/strategy role in the Industrials sector, ideally Mid/Small Caps (including: aerospace and defence, industrial machinery, tools, lumber production, construction, waste management, manufactured housing, cement and metal fabrication.) Proven ability to critically review and analyse industry data You are: highly analytical, organized and able to multitask under tight time frames an excellent communicator, able to present recommendations and investment decisions persuasively competent in financial modelling, investment research, analysis and evaluation ideally possessing industry experience in Mid/Small Cap Industrials For a confidential discussion please email james@fulsearch.com or call direct on 0420562280. efinancialcareers AU - 2 days ago - Save Job - Original Job View or apply to job Other Jobs You May Like Senior Research Analyst MCS Consulting - Sydney NSW 9 hours ago Senior Research Analyst | Quantitative and Qu... CCInternational Recruitment - Sydney NSW 30+ days ago Easily apply to this job Senior Research Analyst jobs in Sydney NSW Jobs at Fulsearch in Sydney NSW",https://au.indeed.com/viewjob?jk=6b00299f69f93713&from=tp-serp&tk=1c3d68ts510m9101
172,Business Analyst,people2people,North Ryde NSW,$450 - $550 a day,Failed to scrape,https://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAWXrQOY2d9ZyjtwpyS-77zGxevxFwit0Fl2sK8fghHFpESM8jRFl4W3E38A0XLqKXWzXybS5bJG_Ax4yKwRXuXFo3piJ0p-B73P_IAiQHpwOJraWOAv62AH6j7nguZkn0sO7my0uYlCDQDwf45zZAITso60UR824EWV9l72aHPpjaVLDVh_sOjED3RYrXC6moV8BanwDWOrHaztieg8LlqGSj5ArSgUz5t9u3to6gzC1IB5dFvmS_Q4_OZAD8JejwklU29s_W8HoQXx_D1g2CL3h5BvPDRZGk-KQ7vIbIFHUbYYhTPQV2f9ZransTtDU1qYkgJm5TIjpO83vKSi2xcvvEvCnS4-K56L4c6V4AisF9Q9hbTyeU3Zwp9Lwr1DsDpDaSfgho2xonjVyHRT7r9oGEaou-rOgblayDg9iXDSCWPOXb8Zto_Jyvrk9xW6StqhXqbKhfjAkkgNPIH7DPL0I5V-1EoLM=&p=1&sk=&fvj=0&tk=1c3d69joh82109ne&jsa=7889&oc=1&sal=1
173,Business Analyst - Australian Owned FMCG,Michael Page,Sydney Central Business District NSW,"$80,000 - $90,000 a year",Failed to scrape,https://au.indeed.com/rc/clk?jk=646b614fd86cc58b&fccid=77087bd1709a8148
174,Business Intelligence Analyst - Big Data - Contract,TheDriveGroup,Sydney NSW,$850 a week,Failed to scrape,https://au.indeed.com/rc/clk?jk=45738119db1a42bf&fccid=085760c105545d7c
175,Business Analyst / Financial Modeller,Professional Search Group,Sydney NSW,Nothing Found,Failed to scrape,https://au.indeed.com/rc/clk?jk=b25fc58c6d54f86d&fccid=bcd11d0aafecb36d
176,Lead Business Analyst,Human Capital Management Australia,Sydney NSW,$800 - $850 a week,Failed to scrape,https://au.indeed.com/rc/clk?jk=0c448fcf77cc5b70&fccid=097c66e0e510d662
177,Lead Business Analyst - Microsoft Azure/O365 Transformation,PRA,Sydney NSW,$900 a week,Failed to scrape,https://au.indeed.com/rc/clk?jk=a39fadb1038ba6f0&fccid=3639ccbe63c86927
178,Lead Business Analyst - Credit Risk,Profusion PAC Pty Ltd,Sydney NSW,$800 a week,Failed to scrape,https://au.indeed.com/rc/clk?jk=68c4465d5006f81f&fccid=3e6509ca715650dd
179,Finance Business Analyst,Michael Page,Perth WA,$55 - $65 an hour,Failed to scrape,https://au.indeed.com/rc/clk?jk=6adbe2d381367d05&fccid=77087bd1709a8148
180,Agile Business Analyst - Start Immediately,Talent International,Canberra ACT,$95 - $105 an hour,Failed to scrape,https://au.indeed.com/rc/clk?jk=303ca8677351d6bc&fccid=ea1f64b071408cc5
181,Business Process Analyst,Michael Page,Parramatta NSW,$65 - $80 an hour,Failed to scrape,https://au.indeed.com/rc/clk?jk=86a93a2d33c28268&fccid=77087bd1709a8148
182,Senior Business Analyst - Lending / Regulatory - $750 to $850pd,Profusion PAC Pty Ltd,Sydney NSW,$750 - $850 a day,Failed to scrape,https://au.indeed.com/rc/clk?jk=8895188ad0f5e75a&fccid=3e6509ca715650dd
183,Technical Business Analyst - Fund Services,Mainstream Group Holdings Limited,Sydney NSW,"$90,000 a year",Failed to scrape,https://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9kSWSTCEDVtJC46uuzZ5ixSJ-vJXIr2LjyoVE09XUbf-8YFVPvyMwIQfLcKfKvIW3h2chonjYBi5RFRWGEpKwkadBi_DM1DZS8NpUlfZEpgRLKjyYkiWZeeGuCRObPsMXIB3VuBmS-tkfdkG2MPEYVGLUrqVR4BRTqvPj0ui4M8LtmnC1Cn6aJEIx_X72piI0m3Io_jqStYJqDD-EUcpmx1Xt3HeIfiG7Sny04HwTe2zY8yiVk2rHDaqAh0jsS7A5AInVw3qejsJTbN9THh_2ktmN9kNAt9iNm28g429uPWjPywcAIDWG4OtldRO5bpX09FDTzmH7UmuWdBPfVANCqk7qZSYAEs03si5N-SkxfIZ7B43cmoNlrwKhDmhxw3CPGBh4MLdYGD1tgf0H71U9AKD9O00J-DnEk0On8br_P6uglncggy6oLBzeos81khH6NNVxKFA00wXbV_x3O3heioxL9zw-rFBG0HjokjDSaCjXGqQJXXqUQ5db57rQ1J4lL0kcsQKpuRh8HZnDJLcVlBKd_g7icMDyJ5s7lH355Fe1Id4fbZDxdxIu43zcDke6SM9lFqkQX4-qlXjcu5kPtZ3A5aNNTUlQdPDQYrd06VMkXrycaqt3rQxi3Mf2tpTZqSuEfHYL7UFL0dXCJhiNl66HXLB_gVQyBauNYVd_Gh1OCADwLv8VoEDsORb4Y0DvuVr8XBxBf0kI5ZW3GW6ik8u0j6KJUqVEopDPrd8jkUW0GIBXnN9Al91H3mVxHuUWQ-NatP5xwPU7cmm38-gLlHiXCCrRtH_4Q==&p=2&sk=&fvj=0&tk=1c3d69joh82109ne&jsa=7889&oc=1&sal=1
184,Senior Technology Business Analyst - Multiple Positions,ANZ Banking Group,Sydney NSW,Nothing Found,Failed to scrape,https://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdoFW-pgk8qz2lidFvI161WPflgHq6k1T1xIfgNTQtPg_9IFmpGIzfhu_Tg1T889pHlDMjA3o3L56FUfGWYt6VEeLHouykpCJ3S5MJNym3hSlMwPefvp8-GezsmJkTPW7krQKENDZcbCI-kHdvrxzObmiOfGde9T1yW2HlH6p8hMESgR326jIWZ2_vl6fDUNOW70QQX4gixTFS6iFPP5YFkvDMxftWm4k9eon4668Lr-sl1f-eNle2VITH1cbxOHXYYfZM3YCxzr3j3VtEBIYdFHlJlza0lOnO1ALF2sV5oq347_ICcwXe6N_U3rWVvNaU8l9s9iAyA8ABlMIsDeAEqT9fwiSwacQ4znTdW28qmUW5vEaA9E9hwVluc7jnJTcK1rudekTaWIqdxEfqE0s-xr8qHFBkQi96rgMKAH62dCle2FRr53GS6pVM-iFnpuUxM2RcBe_lwjLbUUFcNwyvmFssuJ2LOBpRDjVt3f-DSPD8UDzuSaUO-Uv5K14EIIk=&p=3&sk=&fvj=0&tk=1c3d69joh82109ne&jsa=7889&oc=1&sal=0
185,Senior Research Analyst - Industrials (Mid/Small Caps),Fulsearch,Sydney NSW,"$200,000 - $250,000 a year",Failed to scrape,https://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9kSWSTCEDVtJC46uuzZ5ixQoOfGOPkl9SHAkpEwUPUMwibO4uO73dB3m6AVhCOJamYq2mU0t-dNmm1RSUHXpvYLIZr23ATvVUwmvtGaisnvuM2UHfhuGPZcOK6_LASxJ1sgFKib0SbtnhoFwNB7oFYSBAnwoiJfmXlk5Snjp715eHyRcC9qq4nyyUW2paHQGzFvPuCxLwsr3ksZEzXl56sL7k3QNJAbn8awrOLWKfUOCyiVQt3fIuRXGMNJ2Cjq9UvpbQ5GIwgnwyNvpRxvbbH2SQqVV2vBBE5yEfpwm4VxFL0-Yu2s8UTBwL95IbqzuQRcofBMbDGoKD4oiNK_ZCo7jeAt1D_DYH1AM9AduA8LAKVy-WeXe_DGX3PfVJxt0l78WFbps9-KScOy6sxCOyX9VJHtOXidP1ZX_lvPas5rKEBYxbqHnAsVuQk3UdsIO_dNkzq0HbRaTXgWUOqWAmc6z5Yt-n3PycBpdg-8O_CATjzWT7QrXqh5mAV6k2U8s29XJiIaOzQBff1uqc-Gllb8L5dTebR-EGqiDGKtsoa5bfwfwjDtCdEeryMFDxSozhdKRXSFapgOwr2vqhJiasBn4JV3t4cS3Fhd3_iFOvxCE-AUGKDZ3N1j76wGi0EVI0kKfGXjBAPIeNO3Sv0e7qtNHrxd8t4zEcp598_Q5EkZXMgrsIuqacyS7itWIh5vQfwspWHmThAHCRFsrNkuLvdPnc0xrAfLVlZyzj8GxkzbhxeKiBxiof_LeLckAHiQRTOW0daMfh4xxsF9nE4co6P02R4ZRVnBkJQ15AXkzTf8p&p=4&sk=&fvj=0&tk=1c3d69joh82109ne&jsa=7889&oc=1&sal=1
186,Business Analyst,people2people,North Ryde NSW,$450 - $550 a day,"The Opportunity This incredibly successful Australian employer works with a range of brands that are instantly recognizable and enjoyed by most Australians. Currently looking to gain more focused data insights in 2018, this organization is looking for a talented Business Analyst to assist in the implementation of a new data warehouse. The Role Working closely with the Finance Team you will be responsible for the successful implementation of the data warehouse. Duties will include: Reconciliation of data between the ""old"" and ""new"" data warehouse Reconciliation of PowerPivot and ""new"" data models Identify, clarify and solve any data variances Validate data models Update and maintain business rules and glossary items Undertake and sign off on UAT Stakeholder engagement Ad hoc tasks as required Your Background Excellent data analysis skills Finance background - ideally CPA / CA Qualified Strong SQL and PowerPivot skills Exposure to large IT projects and/or a Data Warehouse implementation Strong communication skills to liaise effectively with internal stakeholders across the organisation Prior use of the Microsoft Stack (PowerBI, SSRS, SSAS, MSD) will be highly regarded FMCG experience will also be highly regarded This is an exciting new opportunity that will look great on any CV. Please Apply Now or for more information call Kimberly Kaminski on (02) 8270 9737. SK927902A (SK917656A) (SK94503A) (SK923058A ) SK927050A 6 days ago - Save Job - Original Job View or apply to job Other Jobs You May Like EDRMS Business Analyst Total Resource Solutions - Parramatta NSW 1 day ago Business Analyst people2people - North Ryde NSW 6 days ago BUSINESS ANALYST Innovate It Consultancy Pty Ltd - Sydney Western Suburbs NSW 9 hours ago Easily apply to this job Business Analyst - CRM Michael Page - Macquarie Park NSW Michael Page AU - 6 days ago Business Analyst - Biotechnology Michael Page - Macquarie Park NSW Michael Page AU - 7 days ago Business Analyst jobs in North Ryde NSW",https://au.indeed.com/viewjob?jk=964787a5c84d6a40&from=tp-serp&tk=1c3d6ajn080koco9
187,Senior Analyst,NAB - National Australia Bank,Melbourne VIC,Nothing Found,"Opportunity for a Senior Analyst in Group Audit Combine your in-depth internal audit experience with your understanding of financial markets. Execute audits across Fixed Income, Currency and Commodities (FICC), Corporate Finance, Asset Servicing, and Treasury. We're NAB Today, we have more than 35,000 people serving 10 million customers at more than 800 locations in Australia, New Zealand and around the world. We know that to be Australia and New Zealand's most respected bank, we need to be more than good with money. We need to be just as good with people, too. We strive to embrace diversity of thought, style and working arrangements to ensure our workforce is representative of the community that we serve. We believe in people with ideas and dreams, and we want you to achieve your aspirations. At NAB we work together to deliver exceptional outcomes that push the limits of expectations. Our passion about creating value and exceeding our customers' expectations means we're constantly striving to redefine our standards of excellence. About the role An exciting opportunity has arisen for a Senior Analyst, Group Audit to support the planning, execution, and reporting of Audit activity as set out in the annual Audit Plan. The primary focus of the role will be in executing audits across our Trading and Treasury businesses. We are looking for someone with the ability to collaborate with all levels of management to develop and agree practical outcomes, and it would be ideal if you have proven knowledge across financial markets products and/or processes. Responsibilities Your day to day responsibilities will include (but not be limited to): Supporting the Manager/Head of and General Manager in planning and delivering audit activities Overseeing all components of the audit assignment from planning through to reporting Providing leadership, direction and guidance to team members during audit assignments Representing the team at client and stakeholder forums Driving the desired enterprise culture within the team Skills & experience To succeed in this role, you must be able to work in a fast-paced, at times ambiguous and complex environment and have: Experience in audit and / or risk management Relevant post graduate qualification (eg CA / CPA / CIA) Experience and ability in understanding the business’ risk and control environment Ability to engage and communicate with influence across a wide range of stakeholders Prior Financial Markets experience will be highly regarded Benefits At NAB, we provide access to a large number of exclusive employee benefits that will support you both personally and professionally. These include volunteer leave, education and learning benefits and banking & financial services discounts for example. Visit our benefits page for more information http://www.nab.com.au/about-us/careers/working-at-nab/benefits How to apply If you are looking for a role that will give you excellent exposure across the business and allow you to utilise your existing knowledge and skills in a new environment, then this role in the NAB audit division is the opportunity for you! If you have prior audit experience and knowledge of financial markets, then please apply and take a career step that will give you more than money! Please note, candidate screening and interviews may take place prior to the advertised close date. To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status. Please apply via the link. At NAB we support workplace flexibility. Have a chat to us about how this can work for you… NAB - 30+ days ago - Save Job - Original Job View or apply to job Other Jobs You May Like Senior Analyst-Production Adaps - Melbourne VIC 1 day ago Senior Analyst, Support Adaps - Melbourne VIC 1 day ago Senior Strategic Analyst Victoria Police - Melbourne VIC 7 days ago Senior Functional Analyst Peoplebank - Hawthorn East VIC 1 day ago Senior Analyst jobs in Melbourne VIC Jobs at NAB in Melbourne VIC",https://au.indeed.com/viewjob?jk=e187b6dd719abb08&from=tp-serp&tk=1c3d6ajn080koco9
188,"SAP Test Analyst - FI, MM, SD",Powerstaff Consulting,Australia,Nothing Found,"Global IT Services Provider is looking for a SAP Test Manager & SAP Test Analyst to work on-site at their Client in Auckland CBD. SAP Test Manager - Must have experience in FI, MM &/or SD As an experienced SAP Test Manager you will provide regular, accurate, and concise progress reports to the Project Manager or Programme Test Manager detailing cost effort and elapsed time spent, percentage complete, and cost effort and elapsed time remaining. As a SAP Test Manager you will also be capable of thinking innovatively about how best to test the solution and what may be required in order to facilitate testing. Key Responsibilities: Definition of the High-Level Test Approach for Programmes/Projects, including advising on the test phases needed to support the Programme/Project Definition and maintenance of the Test Strategy documents Provide input to the Programme/Project management on the needs of Test project Provide estimates, with a good level of accuracy, of the time required to complete test activities Manage Test progress, including assigning work, monitoring progress and providing feedback Required Background: 4+ years SAP Test Manager experience in FI, MM &/or SD Understanding the needs/mind-set of a range of roles from key senior business stakeholders through to technical individuals Experience with implementing and configuring a variety of leading testing tools and understanding how best to exploit them Extensive experience of defining and implementing waterfall, agile and hybrid/custom testing approaches Experience leading a team of SA Testers Experience of managing teams working on multiple projects SAP Test Analyst Key Responsibilities: Independently lead a module for SAP Functional Testing projects. Be both an individual contributor as well as leading other team members if needed. Understand Business Requirements and Functional/Technical Specifications to create and execute SAP Manual Test Scenarios. Required Background: Experience of testing SAP HR modules, both out of the box and customised versions. 5+ years experience in SAP Functional Roles in modules (SAP SD ,MM ,PP,FI) Can create and execute Manual SAP Test Scenarios Functional, Integration testing, System Testing, Regression Testing Automation Tools experience : HP QC/ALM, Turnkey cFactory, HP UFT/QTP 12 days ago - Save Job - Original Job View or apply to job Other Jobs You May Like SAP Test Specialist - Brisbane Planit Software Testing - Brisbane QLD 22 days ago SAP Test Analyst jobs in Australia Jobs at Powerstaff Consulting in Australia",https://au.indeed.com/viewjob?jk=adcd33399d41346e&from=tp-serp&tk=1c3d6ajn080koco9
189,Risk and Reporting Analyst,BT Financial Group,Sydney Central Business District NSW,Nothing Found,"BT Financial Group (BTFG) is the wealth management arm of the Westpac Banking Corporation. BTFG designs, manufactures and administers financial products and services that enable customers to achieve their financial goals through the accumulation, management and protection of personal wealth. The primary objective of the role is to prepare and manage the Business reporting for the BT Investment Solutions Equities and Credit Risk team. The types of reports include: Equities Credit & Market Risk Committee monthly dashboard and quarterly report Business performance Market risk and portfolio exposure Credit Provisioning and Forecasting Margin Call and Credit Exposure management; and Credit Risk & Economic Capital Management Assisting the Business proactively manage and optimise risk decisioning through effective, well thought out analysis and reporting Participating in projects that improve process efficiency, risk management framework and Business decisioning processes Being able to monitor and manage the equities portfolio margin call process as a backup when required. Leveraging analysis and reporting information into risk profile and framework recommendations Position responsibilities Preparing the monthly reports by running MS Access and Excel queries, following up contributors and collating the information into the required templates. Reviewing reports for timely dissemination to various Committees and stakeholders. Back up to manage margin call and credit excess processes by running, circulating and managing the daily report, liaising with management and monitoring clearing of positions. Implementing stakeholder approved areas of improvement in current reporting practices, such as automating reports, removing irrelevant material or adding other metrics. Key requirements: Logical, analytical and practical thinking Able to engage and work with a range of stakeholders Able to place the customer at the centre of decisions Able to extract and collate data from a range of sources Good understanding of equities markets and associated risks Ability to deliver to required timeframes Good communication skills Knowledge/Qualifications/ Experience 3-5 years financial services / equities markets experience Hands-on experience in managing management-level reporting Degree qualified or relevant risk management qualification is desirable Solid / Strong Access and Excel skills Westpac Group is an equal opportunity employer. As part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. Westpac Group - 20 days ago - save job - original job View or apply to job Other jobs you may like Credit Risk Analyst – Corporate/Institutional... Jon Michel Executive Search - Sydney NSW efinancialcareers AU - 19 days ago Audit/Risk Senior Analyst - Leading Domestic... Robert Walters - Sydney Central Business District NSW 7 days ago Risk Analyst Genworth Australia - Sydney NSW 30+ days ago Credit Risk Analyst Walker Andersen - Sydney NSW 7 days ago Risk & Compliance Analyst Hays - Sydney Central Business District NSW 30+ days ago Risk Reporting Analyst jobs in Sydney Central Business District NSW Jobs at BT Financial Group in Sydney Central Business District NSW",https://au.indeed.com/viewjob?jk=1a8cc88b19f0ff33&from=tp-serp&tk=1c3d6ajn080koco9
190,SQL Analyst,KPMG Services Limited,Sydney NSW,Nothing Found,"We provide an agile work environment and a career that flexes to your lifestyle Rare opportunity to design, develop and deliver systems and reporting Deal with big data for this growing division KPMG is one of the most trusted and respected global professional services firms. Through depth of expertise, clarity of insight and strength of purpose we help our clients solve complex challenges, steer change, strengthen, transition and grow. We are looking for talented people who share our purpose of inspiring confidence and empowering change for our clients, our people and our communities. KPMG's Deals,Tax & Legal division is looking for a highly talented Junior SQL Developer to join the Delivery and Data eXcellence (DDX) team. As a new and innovative Centre of Excellence, our DDX team's responsibility is to bring value-add services to our clients through ground-breaking and technologically advanced tax practices. Sitting within our DDX practice is our growing Data and Delivery team. At the forefront of tax automation this young, dynamic and agile team is the perfect next step for a Junior Developer! Your new role Responsibilities will include: Supporting the current Reporting Analyst and DDX Leadership team with the day-to-day reporting on milestones and deliverables of the DDX team; Design, Develop and Deliver technical and operational reports and perform data mining. Help manage, build and integrate different data streams to a centralised warehouse Identify opportunities to increase operational efficiencies Have demonstrated experience working in a similar role within a large corporate or professional services organisation coupled with expertise in providing support for operational reporting in a delivery centre environment Help deliver improved operational based reporting, engagement level profitability, operational performance and ad hoc reporting Support the project and business team through the continuous improvement of day-to-day and special purpose reporting to facilitate decision making and improve processes Generate and provide commentary in respect to insights arising from the reports to the Leadership team. Demonstrated experience in the delivery and development of reports, data mining/querying experience, experience creating visual dashboards. You bring to the role This is a business intelligence and business facing role and requires a few years' experience working with senior stakeholders as well as having excellent communication and presentation skills. Along with this we also require: Experience working with Tableau and T-SQL, SQL or SQL Microsoft (MCSE certified preferred) Advanced MS Excel (basic VBA desirable), Access, SharePoint essential Excellent data mining and presentation of data in a meaningful way Experience working with large amount of data and creating efficient and succinct reporting Demonstrated ability to build systems and reporting from scratch Tertiary qualification in Information Technology, Mathematics, Economics, Finance, Actuarial or Statistics (desirable). What we offer you This role is positioned in a fast and agile environment and will give the successful application the opportunity to build and design systems from scratch. We offer rewarding careers for outstanding professionals, ongoing learning and development opportunities, a collaborative and inclusive culture, and flexible and agile work practices that focus on our people's wellbeing to drive innovation and entrepreneurship. We also believe that our business plays a distinct and vital role in helping solve important social and environmental issues; and use our unique skills and expertise to help create positive and lasting impacts for our communities. We believe diversity of thought, background and experience strengthens relationships and delivers meaningful benefits to our people, our clients and communities. We are consistently recognised as an employer of choice for women, and our inclusive culture promotes the development of our people irrespective of gender, ethnicity, generation, flexible work status, family circumstances, sexual orientation or disability. This is an exciting opportunity to be a part of KPMG and its ongoing success. So if you want a career where you can use your deep expertise to deliver real results, talk to us first. Please apply for this position by submitting your confidential application online, if you have any questions please contact Alex at alexbrown1@kpmg.com.au 24 minutes ago - save job - original job View or apply to job SQL Analyst jobs in Sydney NSW Jobs at KPMG Services in Sydney NSW",https://au.indeed.com/viewjob?jk=c69c88d5e649ee32&from=tp-serp&tk=1c3d6ajn080koco9
191,Analyst - Concessions,Acciona,Sydney NSW,Nothing Found,"ACCIONA Concessions in Australia is looking for an Analyst to be part of the team. The employee will have active participation and involvement with the development and delivery of the ACCIONA Concessions Australia business, including active involvement in teams for financial, technical and commercial work streams, working closely with the Concessions Director, Senior Legal Counsel and Project Manager. Management and oversite of the ACCIONA Infrastructure Australia Marketing function and project pipeline reporting. Key Responsibilities include: - Coordinate periodical Concessions activity, including team meetings (no more frequent then weekly, or less frequent than monthly). - Work proactively and collaboratively in bid teams on behalf of ACCIONA Concessions Australia, assisting where directed and required in such activities as: - Development and maintenance of the ACCIONA Concessions financial model - The debt and equity procurement process - Compilation of commercial matters - Coordination of team and technical activity - Assistance with review and finalization of documentation and financial close process - Liaising with external advisors; financial, legal, insurance and tax - Liaising with partners and subcontractors - Assistance with preparation of approval processes, investment analysis, investment proposals, and procurement processes - Timely submission of project documentation, submissions and tender documents - Participation in project insurance and due diligence processes. - Preparing and giving presentations of ACCIONA Concessions activities and projects - Assisting and coordinating activity of projects under delivery, including O&M. - Pipeline Management: - Produce report 'Informe de Contratacion' to Spain. (Weekly) - Maintain BD Meeting and Project pipeline (Fortnightly) OHS & Environment - Take reasonable care that his or her acts or omissions do not adversely affect the health and safety of other persons or themselves. Ensure that safe work methods are followed at all times and assist others to do so - Comply with all reasonable instructions given for work health & safety and comply with all statutory requirements, including your ‘duty of care’ - Comply with the ACCIONA Infrastructure work health & safety, policies, procedures, safe work instructions; - Participate in consultation and communication of work health & safety matters with their supervisors and other workers. Key Result Areas include demonstrating: - Track record of success in which analysing and understanding complex commercial statements - Work collaboratively to ensure plans, strategies, initiatives align to ACCIONA key objectives - Understanding & application of project planning, organisational and time management principles - Analytical and financial skills - Negotiation and influencing skills - Provide input to the preparation of project budgets and strategies - Excellent verbal and written communication skills - Advanced skills in the use of computer software programs including Microsoft Office - Ability to develop and maintain effective working relationships Experience/Qualifications The successful applicant will have: - Knowledge/Interest in Australian Infrastructure construction market - Experience working with government procurement process - Basic project finance knowledge and experience - Relevant tertiary qualifications - advanced written and verbal communication skills - Advanced computer skills, including Word, Excel & Outlook - The ability to develop and maintain efficient systems and prioritize tasks - The capacity to balance priorities and manage expectations - A meticulous attention to detail - The ability and flexibility to work efficiently and proactively with limited supervision - Well-developed interpersonal skills, with the desire and ability to work cooperatively as a team member - The ability to work in a multi-cultural environment # The applicants must have working rights in Australia ACCIONA is one of the foremost Spanish business corporations, leader in the development and management of infrastructure, renewable energy, water and services. Listed on the selective Ibex-35 stock exchange index, it is a benchmark for the market. 2 days ago - save job - original job View or apply to job Other jobs you may like Business Graduate Program Northeast Quadrant - Sydney NSW 7 days ago commercial analyst. Pandora Jewelry - Sydney NSW 19 days ago Research Analyst (Real Estate Fund Manager) Capstone - Sydney NSW 1 day ago Graduate Trade Settlement Officer Manpower Services (Hong Kong) Limited - Australia 4 days ago Financial Operations Trainee Mars - Victoria 6 days ago Analyst jobs in Sydney NSW Jobs at Acciona in Sydney NSW",https://au.indeed.com/viewjob?jk=56087a32744945ca&from=tp-serp&tk=1c3d6ajn080koco9
192,Claims Analyst,Allied World Assurance Company,Sydney NSW,Nothing Found,"This position is responsible for handling allocated cases on the Involved Line(s) of Business assigned, following the established standards, procedures and guidance to deliver excellent customer services. The focus is on Casualty, Professional Indemnity and Healthcare (primarily Medical malpractice), and not limited to claims in Australia. This is a new role due to expanding workload. It’s an exciting time to join our growing Australia branch and be part of Allied World’s success story in Asia Pacific. Job Duties: Investigate, evaluate and resolve assigned claims, including non-standard, within designated personal authority level, in line with established standards, procedures and guideline provided. Conduct pro-active settlement through appropriate negotiation including instruct and collaborate with counsel regarding litigation strategy and claim resolution. Identifying and investigating suspicious / fraudulent claims under supervision. Managing customer/intermediary interactions in an efficient, courteous and timely manner in order to deliver high standards of customer satisfaction. Organizing and using approved internal and/or external suppliers to ensure appropriate and timely services are provided to customers. Identifying non-standard or complex claims and escalating to supervisor to ensure they are handled appropriately. Providing guidance and assistance to claims associates when necessary. Supporting more experienced colleagues in the handling of non-standard cases. Assist in preparation of reports or analysis where necessary. Ensure compliance with all legal, regulatory and policy requirements internally and externally. Additional duties and responsibilities as warranted including ad-hoc projects. Qualifications Essential Requirements: Relevant academic qualifications (“A” level or diploma graduates), or Law graduate Ideally a minimum 3 to 4 years’ solid claims handling experience in Casualty, Professional Indemnity and/or Healthcare claims, OR Law graduate with some knowledge of third party claims Preferably a holder or in progress of professional insurance qualification such as ANZIIF or ACII or meet minimum any local mandatory qualification requirement Apply planning, prioritization and organizational discipline in managing workload and focused on priorities Ability to exercise sound judgment and analytical ability. Possess negotiation skills and attention to details. A good team player and able to work independently and under pressure. Possess good interpersonal skill and customer service oriented attitude. Strong in oral and written communication skills in English. Ability to work on relevant PC applications. About Allied World: Allied World Assurance Company Holdings, AG, through its subsidiaries and brand known as Allied World, is a global provider of innovative property, casualty and specialty insurance and reinsurance solutions offering superior client service through a global network of offices and branches. All of Allied World's rated insurance and reinsurance subsidiaries are rated A by A.M. Best Company, A by Standard & Poor's, and A2 by Moody's, and our Lloyd's Syndicate 2232 is rated A+ by Standard & Poor's and AA- by Fitch. Headquartered in Switzerland, and with over 20 offices across North America, Europe and Asia-Pacific, Allied World strives to provide exceptional service and convenience to our clients and distribution partners. We have over 1,400 employees globally, all of whom are focused on providing superior customer service and creative risk solutions, building long-term, mutually beneficial relationships. Allied World is an Equal Opportunities Employer. All qualified applicants will be considered for employment without regard to an individual’s race, color, national origin, religion, sex, age, genetic information, or disability status. Please visit www.awac.com for further information on Allied World. Primary Location : AU-AU-Sydney Work Locations : Sydney Level 21 Australia Square 264 George Street Sydney NSW 2000 Job : Claims Employee Status : Regular Job Type : Experienced Travel : No Job Posting : Jan 3, 2018, 7:45:00 PM 5 days ago - save job - original job Apply Now Other jobs you may like Rebate & Claims Analyst Hays - Sydney NSW 8 days ago Claims Analyst Aston Carter - Sydney Central Business District NSW 30+ days ago Claims Analyst - Immediate Start Michael Page - Sydney NSW Michael Page AU - 22 days ago Claims Analyst Allianz - Sydney NSW 26 days ago Easily apply to this job Claim Analyst jobs in Sydney NSW Jobs at Allied World Assurance Company in Sydney NSW",https://au.indeed.com/viewjob?jk=ef4bd8008f5e0919&from=tp-serp&tk=1c3d6ajn080koco9
